770674525, 190816246
770674525, 770802334
770674525, 770858011
770674525, 24223
770674525, 770675878
12858, 11450
12858, 136233481
12858, 15928
12858, 13034
12858, 770813276
9749, 770672122
9749, 9382
9749, 9377
9749, 9414
9749, 9559
10097, 12903
10097, 14246
10097, 770771479
10097, 12856
10097, 18062
770858011, 684532133
770858011, 10901
770858011, 24223
770858011, 770816610
770858011, 10540
15928, 11450
15928, 136233481
15928, 17
15928, 18948
770859139, 770680214
770859139, 76202668
770859139, 770675616
770859139, 771246678
770859139, 387371589
12895, 12907
12895, 12953
12895, 770670652
12895, 12952
12895, 770685760
10579, 10375
10579, 632295045
10579, 1121
10579, 10016
10579, 769964099
770793166, 9917
770793166, 15744
770793166, 10859
770793166, 284431475
770793166, 24477
18062, 770677066
18062, 10203
18062, 18076
18062, 17873
18062, 18404
6936, 10093
13018, 770680916
13018, 12878
13018, 10015
13018, 10093
13604, 12939
13604, 632318478
12877, 190815509
12877, 12944
12877, 263042951
12877, 18059
12877, 12860
770682510, 13278
770682510, 771231858
770682510, 770768030
10990, 10528
13837, 16743
14235, 13065
14235, 770680780
13933, 14211
771182967, 10473
771182967, 13401
771182967, 16884
771182967, 770802078
770806389, 771209113
658854, 155563568
658854, 770676594
770804511, 666104050
770804511, 770681034
770804511, 770671663
770804511, 633640011
770804511, 770819772
14012, 770785740
428909306, 549495813
428909306, 155563568
428909306, 489388105
428909306, 770676594
770858225, 770688140
770858225, 18255
770858225, 770791955
770858225, 20116
770682867, 12979
770682867, 770808473
16955, 266746773
16955, 12875
16896, 771042121
770785567, 771209113
603201623, 770809201
17050, 21611
13518, 9400
13518, 770863875
13518, 13831
18488, 770856113
770807393, 771208989
